Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 11  | DMEM/F12 | 0 RPM | 60 mm dish, 91 cm²/dish | FGF-4 (50 ng/mL), VEGF (10 ng/mL), HGF (50 ng/mL) | 37°C | 6.5 | 2% |
| 12  | DMEM/F12 | 0 RPM | 100 mm dish, 172 cm²/dish | GATA4 (50 μM), TBX2 (20 μM), B27 (1x) | 37°C | 6.4 | 1% |
| 13  | DMEM/F12 | 0 RPM | 100 mm dish, 172 cm²/dish | GATA4 (50 μM), TBX2 (20 μM), B27 (1x) | 37°C | 6.3 | 1% |
| 14  | DMEM/F12 | 0 RPM | 150 mm dish, 275 cm²/dish | BMP4 (100 ng/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 6.2 | 0% |
| 15  | DMEM/F12 | 0 RPM | 150 mm dish, 275 cm²/dish | BMP4 (100 ng/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 6.1 | 0% |
| 16  | DMEM/F12 | 0 RPM | 200 mm dish, 450 cm²/dish | FGF-2 (20 ng/mL), VEGF (10 ng/mL), HGF (50 ng/mL) | 37°C | 6.0 | 0% |
| 17  | DMEM/F12 | 0 RPM | 200 mm dish, 450 cm²/dish | FGF-2 (20 ng/mL), VEGF (10 ng/mL), HGF (50 ng/mL) | 37°C | 5.9 | 0% |
| 18  | Defined Medium | 0 RPM | 300 mm dish, 625 cm²/dish | EGF (20 ng/mL), BGF-2 (20 ng/mL), MTS (3x10^3 cells/μL) | 37°C | 5.8 | 0% |
| 19  | Defined Medium | 0 RPM | 300 mm dish, 625 cm²/dish | EGF (20 ng/mL), BGF-2 (20 ng/mL), MTS (3x10^3 cells/μL) | 37°C | 5.7 | 0% |
| 20  | Defined Medium | 0 RPM | 400 mm dish, 900 cm²/dish | B27 (1x), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 5.6 | 0% |
| 21  | Defined Medium | 0 RPM | 400 mm dish, 900 cm²/dish | B27 (1x), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 5.5 | 0% |

Note: The medium and supplements were changed according to the protocol mentioned in [1].

References:
[1] Protocol for generating hepatic progenitor cells from human embryonic stem cells, published in Hepatology.
Generating protocol 62 for model llama3.1:8b
| Day | Media | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | TGF-β1 (10 ng/mL), Wnt3a (50 ng/mL) | 37°C | 7.4 | 20% |
| 3   | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), FGF4 (10 ng/mL) | 37°C | 7.2 | 18% |
| 4   | hESM | 50 RPM | 24-well plate, 2 cm²/well | ESGRO (20 μL/mL), LIF (10 ng/mL) | 37°C | 7.1 | 15% |
| 5   | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.3 | 18% |
| 6   | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | SB-431542 (10 μM), LDN193189 (100 nM) | 37°C | 7.4 | 20% |
| 7   | hESM | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (200 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.2 | 18% |
| 8   | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | TGF-β1 (20 ng/mL), Wnt3a (50 ng/mL) | 37°C | 7.4 | 20% |
| 9   | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | ESGRO (20 μL/mL), LIF (10 ng/mL) | 37°C | 7.1 | 15% |
| 10  | mTeSR1 | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.3 | 18% |
| 11  | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), FGF4 (10 ng/mL) | 37°C | 7.2 | 18% |
| 12  | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | Activin A (100 ng/mL), SB-431542 (10 μM) | 37°C | 7.4 | 20% |
| 13  | hESM | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (20 ng/mL), LIF (10 ng/mL) | 37°C | 7.1 | 15% |
| 14  | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | HGF (50 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.3 | 18% |
| 15  | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | ESGRO (20 μL/mL), BMP4 (100 ng/mL) | 37°C | 7.2 | 18% |
| 16  | mTeSR1 | 50 RPM | 24-well plate, 2 cm²/well | Wnt3a (50 ng/mL), Activin A (200 ng/mL) | 37°C | 7.4 | 20% |
| 17  | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | FGF4 (10 ng/mL), LIF (10 ng/mL) | 37°C | 7.1 | 15% |
| 18  | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), PDGF-BB (20 ng/mL) | 37°C | 7.3 | 18% |
| 19  | hESM | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), TGF-β1 (20 ng/mL) | 37°C | 7.2 | 18% |
| 20  | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | ESGRO (20 μL/mL), SB-431542 (10 μM) | 37°C | 7.4 | 20% |
| 21  | hESM | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.1 | 15% |

Note: The medium used for each day is a combination of hESM and mTeSR1 with different ratios and additives to promote differentiation towards the hepatocyte lineage.
Generating protocol 63 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 5   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 6   | mTeSR1 + Laminin (10 μg/mL) | 50 RPM | 12-well plate, 3.8 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 7   | mTeSR1 + Laminin (10 μg/mL) | 50 RPM | 12-well plate, 3.8 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 8   | mTeSR1 + Laminin (10 μg/mL) | 50 RPM | 12-well plate, 3.8 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 9   | ESGRO SingleQuots | 0 RPM | 24-well plate, 1.3 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 10  | ESGRO SingleQuots | 0 RPM | 24-well plate, 1.3 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL), VEGF (10 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 11  | ESGRO SingleQuots | 0 RPM | 24-well plate, 1.3 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 12  | ESGRO SingleQuots + Matrigel (5 μg/mL) | 0 RPM | 48-well plate, 1 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 13  | ESGRO SingleQuots + Matrigel (5 μg/mL) | 0 RPM | 48-well plate, 1 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 14  | ESGRO SingleQuots + Matrigel (5 μg/mL) | 0 RPM | 48-well plate, 1 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 15  | Liver differentiation media (LDM) | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 16  | Liver differentiation media (LDM) | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 17  | Liver differentiation media (LDM) + Bovine Serum Albumin (BSA) | 50 RPM | 12-well plate, 3.8 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 18  | Liver differentiation media (LDM) + BSA | 50 RPM | 12-well plate, 3.8 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 19  | Liver differentiation media (LDM) + BSA | 50 RPM | 12-well plate, 3.8 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 20  | Liver differentiation media (LDM) + BSA | 50 RPM | 12-well plate, 3.8 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |
| 21  | Liver differentiation media (LDM) + BSA | 50 RPM | 12-well plate, 3.8 cm²/well | HGF (50 ng/mL), EGF (10 ng/mL), FGF-1 (10 ng/mL) | 37°C | 7.4 | 20% |

Generating protocol 64 for model llama3.1:8b
**Liver Organoid Generation Protocol**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well |  | 37°C | 7.4 | 20% |
| 0   |       |        |                      | B27 (2x)          |         |     |           |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (10 ng/mL), VEGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 Medium | 0 RPM | 12-well plate, 1.9 cm²/well | KGF (20 ng/mL), TGF-β1 (5 ng/mL) | 37°C | 7.2 | 18% |
| 4   | E8 Medium | 50 RPM | 12-well plate, 1.9 cm²/well | HGF (25 ng/mL), LIF (100 ng/mL) | 37°C | 7.2 | 18% |
| 5   | E8 Medium | 0 RPM | 24-well plate, 1.3 cm²/well | AICAR (100 μM), MEK inhibitor (10 μM) | 37°C | 7.2 | 15% |
| 6   | E8 Medium | 50 RPM | 24-well plate, 1.3 cm²/well | Wnt3a (200 ng/mL), noggin (100 ng/mL) | 37°C | 7.2 | 15% |
| 7   | Matrigel-Matrigel-2D | 0 RPM | 8-well plate, 1 cm²/well | TGF-β1 (5 ng/mL), EGF (10 ng/mL) | 37°C | 7.3 | 12% |
| 8   | Matrigel-Matrigel-2D | 50 RPM | 8-well plate, 1 cm²/well | FGF4 (100 ng/mL), PDGFA (50 ng/mL) | 37°C | 7.3 | 12% |
| 9   | DMEM/F12 | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (2 g/L), L-glutamine (1 g/L) | 37°C | 7.4 | 10% |
| 10  | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | Insulin (5 μM), ascorbic acid (100 μM) | 37°C | 7.4 | 10% |
| 11  | Hepatocyte growth medium | 0 RPM | 24-well plate, 1.3 cm²/well | HGF (25 ng/mL), LIF (100 ng/mL) | 37°C | 7.2 | 8% |
| 12  | Hepatocyte growth medium | 50 RPM | 24-well plate, 1.3 cm²/well | FGF4 (100 ng/mL), PDGFA (50 ng/mL) | 37°C | 7.2 | 8% |
| 13  | Liver induction medium | 0 RPM | 12-well plate, 1.9 cm²/well | TGF-β1 (5 ng/mL), EGF (10 ng/mL) | 37°C | 7.3 | 6% |
| 14  | Liver induction medium | 50 RPM | 12-well plate, 1.9 cm²/well | HGF (25 ng/mL), LIF (100 ng/mL) | 37°C | 7.3 | 6% |
| 15  | Liver differentiation medium | 0 RPM | 24-well plate, 1.3 cm²/well | AICAR (100 μM), MEK inhibitor (10 μM) | 37°C | 7.2 | 4% |
| 16  | Liver differentiation medium | 50 RPM | 24-well plate, 1.3 cm²/well | Wnt3a (200 ng/mL), noggin (100 ng/mL) | 37°C | 7.2 | 4% |
| 17  | Matrigel-Matrigel-3D | 0 RPM | 8-well plate, 1 cm²/well | FGF4 (100 ng/mL), PDGFA (50 ng/mL) | 37°C | 7.3 | 2% |
| 18  | Matrigel-Matrigel-3D | 50 RPM | 8-well plate, 1 cm²/well | TGF-β1 (5 ng/mL), EGF (10 ng/mL) | 37°C | 7.3 | 2% |
| 19  | Liver maturation medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (25 ng/mL), LIF (100 ng/mL) | 37°C | 7.4 | 1% |
| 20  | Liver maturation medium | 50 RPM | 6-well plate, 9.5 cm²/well | AICAR (100 μM), MEK inhibitor (10 μM) | 37°C | 7.4 | 1% |
| 21  | Liver functional medium | 0 RPM | 24-well plate, 1.3 cm²/well | FGF4 (100 ng/mL), PDGFA (50 ng/mL) | 37°C | 7.2 | 0% |

Generating protocol 65 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds |
| --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL) |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL) |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL) |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL) |
| 5   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL) |
| 6   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL) |
| 7   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL) |
| 8   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL) |
| 9   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (2 μL/10 mL), bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL) |
| 10  | hESC medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL), PD0325901 (1 μM) (0.5 μL/10 mL) |
| 11  | hESC medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL), PD0325901 (1 μM) (0.5 μL/10 mL), ATRA (500 nM) (5 μL/10 mL) |
| 12  | hESC medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL), PD0325901 (1 μM) (0.5 μL/10 mL), ATRA (500 nM) (5 μL/10 mL), RA inhibitor (1 μM) (1 μL/10 mL) |
| 13  | hESC medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL), PD0325901 (1 μM) (0.5 μL/10 mL), ATRA (500 nM) (5 μL/10 mL), RA inhibitor (1 μM) (1 μL/10 mL), Heparin (10 μg/mL) (1 μL/10 mL) |
| 14  | hESC medium | 50 RPM | Collagen I matrix, 9.5 cm²/well | bFGF (50 ng/mL) (2 μL/10 mL), VEGFA (20 ng/mL) (0.4 μL/10 mL), Y27632 (10 μM) (1 μL/10 mL), CHIR99021 (3 μM) (5 μL/10 mL), IWR-1 (1 μM) (0.2 μL/10 mL), GSK-3 inhibitor (1 μM) (1 μL/10 mL), BPA (100 ng/mL) (4 μL/10 mL), FGF8 (20 ng/mL) (5 μL/10 mL), TGF-β (10 ng/mL) (2 μL/10 mL), PD0325901 (1 μM) (0.5 μL/10 mL), ATRA (500 nM) (5 μL/10 mL), RA inhibitor (1 μM) (1 μL/10 mL), Heparin (10 μg/mL) (1 μL/10 mL), VEGF-C (20 ng/mL) (0.4 μL/10 mL), TGF-β3 (10 ng/mL) (2 μL/10 mL)
Generating protocol 66 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37 | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37 | 7.4 | 20% |
| 2   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), VEGF (10 ng/mL) | 37 | 7.4 | 20% |
| 3   | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | TGF-β (25 ng/mL), Wnt3a (50 ng/mL) | 37 | 7.3 | 15% |
| 4   | mTeSR1 | 100 RPM | 24-well plate, 2 cm²/well | HGF (10 ng/mL), FGF2 (20 ng/mL) | 37 | 7.3 | 15% |
| 5   | hESC-Differentiation medium | 100 RPM | 6-well plate, 9.5 cm²/well | BMP4 (50 ng/mL), Activin A (100 ng/mL) | 37 | 7.2 | 10% |
| 6   | hESC-Differentiation medium | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF (20 ng/mL), FGF4 (50 ng/mL) | 37 | 7.2 | 10% |
| 7   | Liver Maturation medium | 100 RPM | 24-well plate, 2 cm²/well | HGF (25 ng/mL), TGF-β (50 ng/mL) | 36.5 | 7.1 | 5% |
| 8   | Liver Maturation medium | 0 RPM | 24-well plate, 2 cm²/well | FGF2 (20 ng/mL), VEGF (10 ng/mL) | 36.5 | 7.1 | 5% |
| 9   | Liver Maturation medium | 100 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), Activin A (50 ng/mL) | 36.5 | 7.0 | 5% |
| 10  | Liver Maturation medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), TGF-β (25 ng/mL) | 36.5 | 7.0 | 5% |
| 11  | Liver Maturation medium | 100 RPM | 24-well plate, 2 cm²/well | FGF4 (50 ng/mL), VEGF (20 ng/mL) | 36.5 | 6.9 | 5% |
| 12  | Liver Maturation medium | 0 RPM | 24-well plate, 2 cm²/well | BMP4 (25 ng/mL), Activin A (50 ng/mL) | 36.5 | 6.9 | 5% |
| 13  | hESC-Differentiation medium | 100 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), FGF2 (25 ng/mL) | 37 | 7.0 | 10% |
| 14  | hESC-Differentiation medium | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF (20 ng/mL), TGF-β (50 ng/mL) | 37 | 7.0 | 10% |
| 15  | Liver Maturation medium | 100 RPM | 24-well plate, 2 cm²/well | BMP4 (25 ng/mL), Activin A (25 ng/mL) | 36.5 | 6.8 | 5% |
| 16  | Liver Maturation medium | 0 RPM | 24-well plate, 2 cm²/well | HGF (25 ng/mL), TGF-β (20 ng/mL) | 36.5 | 6.8 | 5% |
| 17  | hESC-Differentiation medium | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (50 ng/mL), VEGF (25 ng/mL) | 37 | 7.1 | 10% |
| 18  | hESC-Differentiation medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), FGF2 (30 ng/mL) | 37 | 7.1 | 10% |
| 19  | Liver Maturation medium | 100 RPM | 24-well plate, 2 cm²/well | Activin A (50 ng/mL), BMP4 (25 ng/mL) | 36.5 | 6.9 | 5% |
| 20  | Liver Maturation medium | 0 RPM | 24-well plate, 2 cm²/well | VEGF (30 ng/mL), TGF-β (50 ng/mL) | 36.5 | 6.9 | 5% |
| 21  | Liver Maturation medium | 100 RPM | 6-well plate, 9.5 cm²/well | HGF (25 ng/mL), FGF2 (20 ng/mL) | 36.5 | 7.0 | 5%
Generating protocol 67 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | hESC-DMEM | 50 RPM | T75 flask, 25 cm²/flask | Wnt3a (200 ng/mL), FGF2 (10 ng/mL) | 37°C | 7.5 | 18% |
| 3   | hESC-DMEM | 50 RPM | T75 flask, 25 cm²/flask | TGFβ1 (1 μg/mL), BMP4 (200 ng/mL) | 37°C | 7.5 | 16% |
| 4   | hESC-DMEM | 50 RPM | T75 flask, 25 cm²/flask | CHIR99021 (3 μM), LDN193189 (300 nM) | 37°C | 7.6 | 15% |
| 5   | L-WRN | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF-C (100 ng/mL), HGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 6   | L-WRN | 0 RPM | 6-well plate, 9.5 cm²/well | ESGRO (10 μM), FGF2 (20 ng/mL) | 37°C | 7.4 | 18% |
| 7   | L-WRN | 50 RPM | T75 flask, 25 cm²/flask | Activin A (100 ng/mL), bFGF (20 ng/mL) | 37°C | 7.5 | 16% |
| 8   | L-WRN | 50 RPM | T75 flask, 25 cm²/flask | Wnt3a (200 ng/mL), IGF-1 (50 ng/mL) | 37°C | 7.6 | 14% |
| 9   | L-WRN | 50 RPM | T75 flask, 25 cm²/flask | ESGRO (10 μM), BMP4 (100 ng/mL) | 37°C | 7.5 | 12% |
| 10  | L-WRN | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), VEGF-C (50 ng/mL) | 37°C | 7.4 | 20% |
| 11  | L-WRN | 0 RPM | 6-well plate, 9.5 cm²/well | FGF2 (10 ng/mL), ESGRO (5 μM) | 37°C | 7.4 | 18% |
| 12  | L-WRN | 50 RPM | T75 flask, 25 cm²/flask | BMP4 (100 ng/mL), IGF-1 (20 ng/mL) | 37°C | 7.5 | 16% |
